Name,Subtitle,BatteryCapacity,TopSpeed,Acceleration,Range,Efficiency,FastChargeSpeed,Drive,Segment,NumberofSeats, PriceinGermany , PriceinUK ,region,address,aux address,type,power
BMW i4 M50,Battery Electric Vehicle ,       80.7 kWh,225,,450,179,630,All Wheel Drive,,5," $69,900 "," $63,905 ",,,,,
Volvo XC40 Recharge Twin Pure Electric,Battery Electric Vehicle ,       75 kWh,180,,340,221,440,All Wheel Drive,,5," $59,250 "," $49,950 ",,,,,
Renault Megane EnullTech Electric,Battery Electric Vehicle ,       60 kWh ,160,,335,179,480,Front Wheel Drive,,5," $38,000 "," $32,500 ",,,,,
Peugeot enullRifter Standard 50 kWh,Battery Electric Vehicle ,       45 kWh ,135,,200,225,270,Front Wheel Drive,,7," $37,590 "," $30,375 ",,,,,
Peugeot enullRifter Long 50 kWh,Battery Electric Vehicle ,       45 kWh ,135,,195,231,260,Front Wheel Drive,,7," $42,590 "," $32,455 ",,,,,
MG Marvel R ,Battery Electric Vehicle ,       65 kWh ,200,,340,191,390,Rear Wheel Drive,,5," $40,000 ", $-   ,,,,,
Tesla Model 3 Long Range Dual Motor,Battery Electric Vehicle ,       76 kWh ,233,,490,155,820,All Wheel Drive,,5," $53,560 ", $-   ,,,,,
MG MG5 EV Long Range,Battery Electric Vehicle ,       57 kWh ,185,,340,168,340,Front Wheel Drive,,5, $-   ," $26,495 ",,,,,
Audi Q4 enulltron 45 quattro,Battery Electric Vehicle ,       76.6 kWh,180,,385,199,470,All Wheel Drive,,5," $50,900 ", $-   ,,,,,
Audi Q4 Sportback enulltron 40,Battery Electric Vehicle ,       76.6 kWh,160,,425,180,520,Rear Wheel Drive,,5," $49,500 ", $-   ,,,,,
